Date,Temperature (¡æ),Humidity (%),Rainfall (mm),Wind Speed (km/h),Soil Type,Soil Moisture (%)
2011/3/6,25.92,34.2,15.25,17.73,Clay,34.57
2011/3/7,23.74,76.9,18.14,11.27,Clay,40.61
2011/3/8,17.39,67.42,5.62,3.73,Clay,39.93
2011/3/9,28.29,39.36,10.42,19.84,Clay,41.87
2011/3/10,30.02,60.72,18.93,3.34,Clay,32.04
2011/3/11,23.73,30.11,11.33,18.51,Clay,27.05
2011/3/12,19.23,44.29,4.87,5.29,Clay,38.11
2011/3/13,18.33,43.84,18.78,11.98,Sandy,27.04
2011/3/14,26.74,41.03,5.9,14.77,Sandy,40.6
2011/3/15,16.61,42.37,9.27,19.56,Loam,36.81
2011/3/16,27.88,81.84,17.97,19.71,Clay,28.91
2011/3/17,28.76,66.94,5.46,8.39,Clay,30.74
2011/3/18,20.21,61.83,7.5,9.18,Clay,43.64
2011/3/19,26.39,74,0.58,11.13,Clay,43.16
2011/3/20,30.9,55.79,8.26,18.4,Clay,40.78
2011/3/21,27.03,63.36,10.86,9.06,Clay,36.36
2011/3/22,24.68,49.76,19.12,5.76,Loam,41.26
2011/3/23,33.1,82.6,18.96,13.66,Sandy,31.78
2011/3/24,22.74,83.71,13.27,7,Clay,37.35
2011/3/25,26.61,78.88,16.38,17.13,Sandy,29.42
2011/3/26,25.8,87.44,7.38,11.02,Loam,40.01
2011/3/27,30.22,57.02,10.52,8.28,Clay,44.22
2011/3/28,15.13,64.26,13.07,9.05,Loam,33.56
2011/3/29,18.53,44.06,2.64,10.23,Clay,32.2
2011/3/30,23.48,39.69,16.74,13.71,Sandy,42.2
2011/3/31,16.46,46.89,14.87,6.58,Sandy,40.82
2011/4/1,28.83,47.19,8.67,10.46,Loam,26.77
2011/4/2,18.38,33.94,9.12,9.43,Clay,36.17
2011/4/3,25.79,68.45,19.79,10.39,Sandy,40.86
2011/4/4,31.62,81.31,14.3,5.29,Sandy,39.57
2011/4/5,34.41,84.12,18.83,19.58,Sandy,43.85
2011/4/6,29.79,50.45,0.25,7.44,Sandy,44.39
2011/4/7,17.44,60.48,3.92,6.45,Sandy,31.3
2011/4/8,26.73,55.25,11.9,17.8,Clay,25.8
2011/4/9,21.08,35.4,14.9,10,Clay,29.84
2011/4/10,29.82,56.48,5.19,9.81,Clay,43.72
2011/4/11,22.94,46.4,2.05,10.53,Loam,26.49
2011/4/12,32.73,78.7,12.04,17.67,Sandy,37.55
2011/4/13,29.34,89.9,18.75,18.39,Sandy,40.22
2011/4/14,25.35,55.48,2.28,19.45,Sandy,31.31
2011/4/15,15.24,77.88,13.9,3.5,Sandy,27.04
2011/4/16,17.86,42.66,1.8,5.13,Clay,39.51
2011/4/17,17.44,53.98,8.72,5.98,Sandy,29.26
2011/4/18,17.61,87.74,8.42,8.79,Loam,30.77
2011/4/19,27.57,89.34,6.78,14.92,Clay,25.65
2011/4/20,34.44,72.13,19.95,8.18,Sandy,26.8
2011/4/21,21.39,74.94,0.49,17.02,Clay,42.2
2011/4/22,26.89,45.91,16.02,18.76,Sandy,31.79
2011/4/23,20.41,82.84,5.79,14.21,Sandy,37.15
2011/4/24,32.18,87.45,7.26,11.5,Loam,31.41
2011/4/25,19.42,74.49,0.53,11.92,Sandy,35.14
2011/4/26,22.62,37.32,16.01,11.96,Sandy,26.68
2011/4/27,31.9,59.95,9.48,16.97,Loam,29.62
2011/4/28,31.52,34.98,14.58,13,Sandy,27.31
2011/4/29,25.49,50.93,2.93,7.01,Loam,27.04
2011/4/30,28.83,86.33,10.41,15.07,Loam,35
2011/5/1,24.97,36.93,7,11.72,Sandy,41.79
2011/5/2,29.24,45.56,13.34,10.31,Clay,33.55
2011/5/3,20.33,85.97,12.37,4.79,Clay,31.39
2011/5/4,22.05,57.99,12.18,12.73,Loam,30.61
2011/5/5,28.55,64.01,11.4,4.35,Loam,43.74
2011/5/6,24.07,86.83,7.83,18.56,Clay,26.13
2011/5/7,34.69,88.29,3.44,7.74,Loam,27.3
2011/5/8,24.94,53.8,16.5,12.79,Loam,41.77
2011/5/9,20.41,60.71,13.1,13.52,Sandy,29.46
2011/5/10,18.39,82.84,6.01,13.19,Loam,43.94
2011/5/11,24.25,75.13,9.63,19.24,Loam,25.24
2011/5/12,20.07,61.39,6.75,10.24,Clay,35.97
2011/5/13,30.12,88.91,10.47,10.31,Sandy,42.84
2011/5/14,19.06,52.03,0.48,8.66,Sandy,33.55
2011/5/15,30.23,52.32,2.64,16.87,Loam,32.06
2011/5/16,22.62,37.45,19.42,5.4,Clay,27.73
2011/5/17,30.18,55.23,2.8,13.13,Loam,31.27
2011/5/18,17.95,57.51,1.61,8.77,Sandy,31.01
2011/5/19,16.39,83.89,10.08,3.36,Loam,36.25
2011/5/20,32.32,70.16,13.31,6.44,Clay,42.04
2011/5/21,30.52,40.05,15.26,14.64,Sandy,25.69
2011/5/22,21.51,50.02,8.21,17.08,Clay,26.71
2011/5/23,16.07,84.63,0.83,10.84,Loam,27
2011/5/24,33.86,89.82,15.15,17.85,Loam,25.31
2011/5/25,26.38,77.09,0.34,17.72,Clay,32.03
2011/5/26,22.42,53.95,6.95,4.54,Sandy,43.26
2011/5/27,16.59,88.54,10.65,14.95,Clay,40.62
2011/5/28,26.62,86.69,10.27,15.39,Clay,36.71
2011/5/29,21.5,71.43,15.1,6.3,Clay,36.7
2011/5/30,19.09,67.27,11.65,12.1,Loam,30.54
2011/5/31,15.53,48.39,4.11,16.11,Clay,38.48
2011/6/1,19.32,85.35,4.99,8.21,Clay,25.56
2011/6/2,25.36,50.04,4.58,7.14,Loam,34.63
2011/6/3,19.84,61.56,2.29,6.48,Clay,26.44
2011/6/4,20.98,88.48,6.02,14.96,Loam,36.18
2011/6/5,17.01,41.17,18.56,6.03,Loam,43.61
2011/6/6,28.28,38.52,13.73,19.84,Sandy,32.56
2011/6/7,26.09,66.45,15.14,9.31,Sandy,27.3
2011/6/8,22.02,74.06,18.24,9.98,Sandy,40.07
2011/6/9,26.91,83.85,7.45,7.86,Clay,37.57
2011/6/10,15.01,33.79,12.08,4.58,Sandy,44.59
2011/6/11,26.7,67.84,4.09,10.32,Clay,34.78
2011/6/12,25.69,65.21,3.22,17.03,Clay,43.58
2011/6/13,17.45,72.06,7.27,13.32,Loam,32.91
2011/6/14,24.53,58.55,3.68,13.07,Clay,40.93
2011/6/15,15.13,73.06,6.59,13.69,Sandy,30.65
2011/6/16,26.42,52.7,2.53,19.21,Clay,38.87
2011/6/17,21.5,68.4,1.55,6.42,Clay,36.1
2011/6/18,33.05,73.57,5.88,10.56,Loam,29.73
2011/6/19,15.09,42.61,9.24,8.21,Loam,30
2011/6/20,17.33,56.95,3.56,6.14,Loam,25.12
2011/6/21,16.18,53.15,1.84,6.47,Sandy,37.96
2011/6/22,25.1,82.79,6.65,6.26,Clay,26.44
2011/6/23,24.19,63.27,7.4,8.82,Loam,26.62
2011/6/24,16.67,37.66,18.85,13.59,Loam,44.25
2011/6/25,15.35,33.59,1.12,14.9,Sandy,42.3
2011/6/26,21.93,39.05,15.73,12.02,Sandy,41.44
2011/6/27,32.5,43.51,0.23,8.01,Clay,43.65
2011/6/28,22.46,71.7,19.24,8.02,Clay,37.12
2011/6/29,31.3,57.55,14.17,5.24,Clay,41.95
2011/6/30,32.38,81.56,9.39,14.55,Sandy,44.18
2011/7/1,30.34,63.89,16.1,13.61,Loam,37.33
